Phylum,Class,Order,Family,Genus,Species,Common_Name,Status,BRO,TOR,SAN,HEN,IUCN_No,Pop_Trend
,조기강,잉어목,잉어과,,가는돌고기,Pseudopungtungia tenuicorpa Jeon and Choi,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,가물치과,,가물치,Channa argus Cantor,N/A,0,0,0,1,N/A,N/A
,조기강,숭어목,숭어과,,가숭어,Chelon haematocheilus Temminck and Schlegel,N/A,0,1,0,0,N/A,N/A
,조기강,큰가시고기목,큰가시고기과,,가시고기,Pungitius sinensis Guichenot,N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,잉어과,,가시납지리,Acanthorhodeus gracilis Regan,N/A,0,1,0,1,N/A,N/A
,조기강,잉어목,잉어과,,각시붕어,Rhodeus uyekii Mori,N/A,0,1,0,0,N/A,N/A
,조기강,잉어목,잉어과,,갈겨니,Zacco temminckii Temminck and Schlegel,N/A,0,1,0,1,N/A,N/A
,조기강,농어목,망둑어과,,갈문망둑,Rhinogobius giurinus Rutter,NT,0,0,0,1,8152,un
,조기강,잉어목,잉어과,,감돌고기,Pseudopungtungia nigra Mori,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,돛양태과,,강주걱양태,Repomucenus olidus G?nther,N/A,0,1,0,0,N/A,N/A
,조기강,잉어목,잉어과,,강준치,Erythroculter erythropterus Basilewsky,N/A,0,0,0,1,N/A,N/A
,조기강,쏨뱅이목,둑중개과,,개구리꺽정이,Myoxocephalus stelleri Tilesius,N/A,0,1,0,0,N/A,N/A
,조기강,농어목,망둑어과,,검정망둑,Tridentiger obscurus Temminck and Schlegel,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,구굴무치과,,구굴무치,Eleotris oxycephala Temminck and Schlegel,N/A,0,1,0,0,N/A,N/A
,조기강,잉어목,잉어과,,금강모치,Rhynchocypris kumgangensis Kim,N/A,0,1,0,1,N/A,N/A
,조기강,잉어목,미꾸리과,,기름종개,"Cobitis hankugensis Kim, Park, Son and Nalvant",N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,잉어과,,긴몰개,Squalidus gracilis majimae Jordan and Hubbs,N/A,1,0,0,0,N/A,N/A
,조기강,복어목,참복과,,까치복,Takifugu xanthopterus Temminck and Schlegel,N/A,0,0,0,1,N/A,N/A
,조기강,농어목,꺽지과,,꺽저기,Coreoperca kawamebari Temminck and Schlegel,N/A,0,0,0,1,N/A,N/A
,조기강,쏨뱅이목,둑중개과,,꺽정이,Trachidermus fasciatus Heckel,N/A,1,1,0,0,N/A,N/A
,조기강,농어목,꺽지과,,꺽지,Coreoperca herzi Herzenstein,N/A,0,0,0,1,N/A,N/A
,조기강,메기목,동자개과,,꼬치동자개,Pseudobagrus brevicorpus Mori,N/A,0,0,0,1,N/A,N/A
,조기강,잉어목,잉어과,,꾸구리,Gobiobotia macrocephala Mori,N/A,0,1,0,0,N/A,N/A
,조기강,농어목,망둑어과,,꾹저구,Chaenogobius urotaenia Hilgendorf,N/A,0,1,0,0,N/A,N/A
