Phylum,Class,Order,Family,Genus,Species,Common_Name,Status,BRO,TOR,SAN,HEN,IUCN_No,Pop_Trend
arthropoda,arachnida,araneae,theraphosidae,Aphonopelma,hentzi,Texas brown tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Avicularia,avicularia,Pinktoe tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Avicularia,minatrix,Venezuelan red stripe tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Avicularia,versicolor,Antilles pinktoe tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Brachypelma,albopilosum,Curlyhair tarantula,N/A,0,1,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Brachypelma,auratum,Mexican flameknee tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Brachypelma,boehmei,Mexican fireleg tarantula,N/A,0,1,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Brachypelma,smithi,Mexican red-kneed tarantula,NT,0,0,0,1,8152,un
arthropoda,arachnida,araneae,theraphosidae,Brachypelma,vagans,Mexican red rump tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Chromatopelma,cyaneopubescens,Greenbottle blue tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Crassicrus,lamanai,Belize cinnamon tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,pisauridae,Dolomedes,tenebrosus,Dark fishing spider,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Ephebopus,murinus,Skeleton tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Grammostola,pulchra,Brazilian black tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Grammostola,rosea,Chilean rose tarantula,N/A,0,1,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Haplopelma,lividum,Cobalt blue tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,sparassidae,Heteropoda,venatoria,Huntsman spider,N/A,1,0,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Heteroscodra,maculata,Togo starburst tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Holothele,incei,Trinidad olive tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Hysterocrates,gigas,Cameroon red tarantula,N/A,1,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Lasiodora,parahybana,Brazilian salmon tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theridiidae,Latrodectus,hesperus,Western black widow,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theridiidae,Latrodectus,mactans,Southern black widow,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theridiidae,Latrodectus,variolus,Northern black widow,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Megaphobema,robustum,Colombian giant tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,nephilidae,Nephila,clavipes,Golden silk orb-weaver,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,oxypidae,Peucetia,viridans,Green lynx spider,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Poecilotheria,fasciata,Sri Lankan ornamental tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Poecilotheria,ornata,Fringed ornamental tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Poecilotheria,regalis,Indian ornamental tarantula,LC,1,1,0,0,63566,de
arthropoda,arachnida,araneae,theraphosidae,Poecilotheria,subfusca,Ivory ornamental tarantula,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Psalmopoeus,cambridgei,Trinidad chevron tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Pterinochilus,murinus,Mombasa golden starburst tarantula,N/A,0,0,0,1,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Selenocosmia,crassipes,Queensland whistling tarantula,N/A,1,0,0,0,N/A,N/A
arthropoda,arachnida,araneae,atypidae,Sphodros,niger,Black purse-web spider,N/A,0,1,0,0,N/A,N/A
arthropoda,arachnida,araneae,theraphosidae,Theraphosa,blondi,Goliath birdeating tarantula,N/A,0,0,0,1,N/A,N/A
chordata,amphibia,anura,hylidae,Acris,crepitans blanchardi,Northern cricket frog,LC,0,1,0,0,55286,st
chordata,amphibia,anura,dendrobatidae,Adelphobates,galactonotus,Splash-backed poison frog,LC,0,0,1,0,55185,st
chordata,amphibia,anura,hylidae,Agalychnis,callidryas,Red-eyed treefrog,LC,1,0,0,1,55290,de
chordata,amphibia,caudata,ambystomatidae,Ambystoma,laterale,Blue-spotted salamander,LC,0,0,0,1,59060,st
chordata,amphibia,caudata,ambystomatidae,Ambystoma,maculatum,Spotted salamander,LC,1,0,1,0,59064,st
chordata,amphibia,caudata,ambystomatidae,Ambystoma,mexicanum,Axolotl,CR,0,1,0,1,1095,de
chordata,amphibia,caudata,ambystomatidae,Ambystoma,opacum,Marbled salamander,LC,0,0,0,1,59065,st
chordata,amphibia,caudata,ambystomatidae,Ambystoma,tigrinum,Eastern tiger salamander,LC,0,1,0,1,59072,st
chordata,amphibia,anura,bufonidae,Anaxyrus,americanus,American toad,LC,0,1,0,0,54570,st
chordata,amphibia,anura,bufonidae,Anaxyrus,baxteri,Wyoming toad,EW,0,0,0,1,54583,de
chordata,amphibia,anura,bufonidae,Anaxyrus,boreas,Western toad,NT,0,0,1,0,3179,de
chordata,amphibia,anura,bufonidae,Anaxyrus,terrestris,Southern toad,LC,0,0,0,1,54777,st
chordata,amphibia,anura,bufonidae,Anaxyrus,woodhousii,Woodhouse's toad,LC,0,0,0,1,54798,st
chordata,amphibia,caudata,cryptobranchidae,Andrias,japonicus,Japanese giant salamander,NT,0,0,0,1,1273,de
chordata,amphibia,anura,bufonidae,Atelopus,varius,Harlequin frog,CR,0,1,0,1,54560,de
chordata,amphibia,anura,bombinatoridae,Bombina,orientalis,Oriental fire-bellied toad,LC,1,0,1,1,54449,de
chordata,amphibia,anura,brevicipitidae,Breviceps,mossambicus,Mozambique rain frog,LC,0,0,0,1,57716,un
chordata,amphibia,anura,ceratobatrachidae,Ceratobatrachus,guentheri,Solomon Island leaf frog,LC,0,1,0,1,58242,st
chordata,amphibia,anura,ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,LC,1,0,0,0,56337,st
chordata,amphibia,anura,ceratophryidae,Ceratophrys,cranwelli,Chacoan horned frog,LC,1,0,0,0,56338,de
chordata,amphibia,anura,ceratophryidae,Ceratophrys,ornata,Ornate horned frog,NT,0,0,0,1,56340,de
chordata,amphibia,caudata,cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,NT,1,0,0,0,59077,de
chordata,amphibia,anura,dendrobatidae,Dendrobates,auratus,Green and black poison dart frog,LC,1,1,1,0,55174,un
